Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs,Fill_Rate
10,ETS,90%,BASE,0.32370097924378016,1.2697277379097964,77.73142248519261,0.7796630919666229
10,ETS,95%,BASE,0.3976010870074497,1.8162966246507475,139.20450785066757,0.8057771049424568
10,ETS,99%,BASE,0.532692217588905,3.235011566242289,520.9522459840662,0.852120066699697
11,ETS,90%,BASE,0.5188195973699418,1.2155903999997635,23.617164355331308,0.7444146192134752
11,ETS,95%,BASE,0.5916772087647786,1.6610335696694365,40.959301885516176,0.7840973046980976
11,ETS,99%,BASE,0.7060667822392979,2.6892682672042145,145.51153030121574,0.8460229341092805
12,ETS,90%,BASE,0.6689429789626576,0.999115969443277,7.109448857761138,0.6792811381403852
12,ETS,95%,BASE,0.7233800309234879,1.293593416982419,12.141629746912635,0.7322924019033099
12,ETS,99%,BASE,0.8060745912008621,1.91864003343941,42.432905004000055,0.8105942555722103
10,ETS_BU,90%,BASE,0.3208663261959424,1.242647189831856,78.05091742211518,0.7844069817623426
10,ETS_BU,95%,BASE,0.3945087382279904,1.7978887898488425,139.63614293717453,0.8101580115352306
10,ETS_BU,99%,BASE,0.5323993815302441,3.236703718285631,521.2069256310616,0.8556283762705439
11,ETS_BU,90%,BASE,0.5160708428993113,1.1995754021658076,23.754417665551625,0.7452857585123146
11,ETS_BU,95%,BASE,0.5891510096987304,1.6440013393528723,41.203899388371696,0.7847844685434119
11,ETS_BU,99%,BASE,0.7044386137531431,2.671126566196396,146.42368970580188,0.8464151659145985
12,ETS_BU,90%,BASE,0.6689429789626576,0.999115969443277,7.109448857761138,0.6792811381403852
12,ETS_BU,95%,BASE,0.7233800309234879,1.293593416982419,12.141629746912635,0.7322924019033099
12,ETS_BU,99%,BASE,0.8060745912008621,1.91864003343941,42.432905004000055,0.8105942555722103
10,ETS_TD,90%,BASE,0.32370097924378016,1.2697277379097964,77.73142248519261,0.7796630919666229
10,ETS_TD,95%,BASE,0.3976010870074497,1.8162966246507475,139.20450785066757,0.8057771049424568
10,ETS_TD,99%,BASE,0.532692217588905,3.235011566242289,520.9522459840662,0.852120066699697
11,ETS_TD,90%,BASE,0.5206351809336395,1.2290296770155384,23.52491871595906,0.7442380146669847
11,ETS_TD,95%,BASE,0.5939808524262444,1.6754959124060778,40.78399933998232,0.7840739912166739
11,ETS_TD,99%,BASE,0.7077300910524917,2.7053769545465154,144.76109989044707,0.8461500360034524
12,ETS_TD,90%,BASE,0.6725460338284215,1.0161440333338474,7.028888503401112,0.6814066136771182
12,ETS_TD,95%,BASE,0.7268472098580332,1.311827138948686,11.994465391146353,0.7342818523923127
12,ETS_TD,99%,BASE,0.8087382279904418,1.938855366160292,41.86228072024066,0.8122417568001943
10,ETS_MinT,90%,BASE,0.28425010542098106,1.03587005857955,84.8513435319183,0.7764667377783787
10,ETS_MinT,95%,BASE,0.35109872089209576,1.4382821957063199,155.13954784639316,0.7996671038307267
10,ETS_MinT,99%,BASE,0.4780490090427775,2.500870884722907,604.3333900196924,0.842464272896791
11,ETS_MinT,90%,BASE,0.49203876368520516,1.0709335233416402,25.406608470987255,0.735913362770339
11,ETS_MinT,95%,BASE,0.5618430711084039,1.448974004458019,44.79924837188171,0.7739434002476214
11,ETS_MinT,99%,BASE,0.6760725608708553,2.330188830166607,164.0901444899139,0.8347658865011005
12,ETS_MinT,90%,BASE,0.6565033031907417,0.9427475814196346,7.457461348874689,0.6721080048636582
12,ETS_MinT,95%,BASE,0.7103008011994565,1.2118528338114347,12.888836647448434,0.7237007661742927
12,ETS_MinT,99%,BASE,0.7926826125661809,1.784802394301643,46.002757028132514,0.801130043997526
10,ETS,90%,BU_OR,0.7204118446329006,6.038250191331257,31.660090142831173,0.919125160454405
10,ETS,95%,BU_OR,0.820397788502085,9.269981052242496,43.61807209835577,0.9486791897400055
10,ETS,99%,BU_OR,0.9192358150213185,16.350665317593215,101.15094140118114,0.9767737810608891
11,ETS,90%,BU_OR,0.6896523450311578,2.4259866055098818,14.936300237754335,0.8407987700061165
11,ETS,95%,BU_OR,0.7707991691264896,3.448492992673619,22.752216634169706,0.883787391894947
11,ETS,99%,BU_OR,0.8727881116369145,5.682430772510162,64.00755925836012,0.9350291141486432
12,ETS,90%,BU_OR,0.6689429789626576,0.999115969443277,7.109448857761138,0.6792811381403852
12,ETS,95%,BU_OR,0.7233800309234879,1.293593416982419,12.141629746912635,0.7322924019033099
12,ETS,99%,BU_OR,0.8060745912008621,1.91864003343941,42.432905004000055,0.8105942555722103
10,ETS_BU,90%,BU_OR,0.711732183854191,5.840287295472325,33.73663698696733,0.9170400699174606
10,ETS_BU,95%,BU_OR,0.8133814365365694,9.013694884859579,46.89375105479857,0.9470870269487597
10,ETS_BU,99%,BU_OR,0.9150072623342548,16.014975819916923,110.35802310676036,0.97583514459565
11,ETS_BU,90%,BU_OR,0.6873604148120384,2.395488711585697,15.284082180176757,0.8399041037425605
11,ETS_BU,95%,BU_OR,0.768639991253963,3.4105756239802614,23.345452936447177,0.8830071835450345
11,ETS_BU,99%,BU_OR,0.8712458417279669,5.632507765546415,65.91007443408996,0.9345217956999237
12,ETS_BU,90%,BU_OR,0.6689429789626576,0.999115969443277,7.109448857761138,0.6792811381403852
12,ETS_BU,95%,BU_OR,0.7233800309234879,1.293593416982419,12.141629746912635,0.7322924019033099
12,ETS_BU,99%,BU_OR,0.8060745912008621,1.91864003343941,42.432905004000055,0.8105942555722103
10,ETS_TD,90%,BU_OR,0.7211732183854191,6.007556068228711,32.90392664802323,0.9181425685335824
10,ETS_TD,95%,BU_OR,0.8194958534414093,9.207765756654785,45.645046887654175,0.948051377096387
10,ETS_TD,99%,BU_OR,0.918661856346343,16.237567106199997,106.67513821751699,0.9765057864384226
11,ETS_TD,90%,BU_OR,0.693088288119446,2.4514640502550384,15.008483796950294,0.841200425559307
11,ETS_TD,95%,BU_OR,0.7737197207515344,3.473802081093826,22.901405377853777,0.8842143102052995
11,ETS_TD,99%,BU_OR,0.8741702978337941,5.703914973967081,64.40624732398021,0.935411810578358
12,ETS_TD,90%,BU_OR,0.6725460338284215,1.0161440333338474,7.028888503401112,0.6814066136771182
12,ETS_TD,95%,BU_OR,0.7268472098580332,1.311827138948686,11.994465391146353,0.7342818523923127
12,ETS_TD,99%,BU_OR,0.8087382279904418,1.938855366160292,41.86228072024066,0.8122417568001943
10,ETS_MinT,90%,BU_OR,0.6882115916225461,5.239064281441763,36.878909693955606,0.9129281667219367
10,ETS_MinT,95%,BU_OR,0.7941479642037202,8.088699530269313,52.32161912542866,0.9433854339640344
10,ETS_MinT,99%,BU_OR,0.9035515157194395,14.49769398429802,128.34490436820178,0.9734983767054317
11,ETS_MinT,90%,BU_OR,0.6687360414812037,2.2023805216739283,16.39720174872527,0.8336431455441529
11,ETS_MinT,95%,BU_OR,0.7512455293695044,3.119529436871004,25.483168650653006,0.8764781194708099
11,ETS_MinT,99%,BU_OR,0.8577324337409611,5.150455683276556,74.25284595194483,0.9291628153652076
12,ETS_MinT,90%,BU_OR,0.6565033031907417,0.9427475814196346,7.457461348874689,0.6721080048636582
12,ETS_MinT,95%,BU_OR,0.7103008011994565,1.2118528338114347,12.888836647448434,0.7237007661742927
12,ETS_MinT,99%,BU_OR,0.7926826125661809,1.784802394301643,46.002757028132514,0.801130043997526
10,ETS,90%,TDFP_OR,0.32370097924378016,1.2697277379097964,77.73142248519261,0.7796630919666229
10,ETS,95%,TDFP_OR,0.3976010870074497,1.8162966246507475,139.20450785066757,0.8057771049424568
10,ETS,99%,TDFP_OR,0.532692217588905,3.235011566242289,520.9522459840662,0.852120066699697
11,ETS,90%,TDFP_OR,0.4150267847381655,0.7895875318141928,29.871386715544674,0.6837930575508839
11,ETS,95%,TDFP_OR,0.4661091068109763,1.0143758540167862,55.57280429187492,0.7124200086758972
11,ETS,99%,TDFP_OR,0.5595042871198987,1.5334560143592533,226.00940019029588,0.7628892698887001
12,ETS,90%,TDFP_OR,0.5241589748395258,0.4879909617064369,11.408127230445025,0.5263246721145982
12,ETS,95%,TDFP_OR,0.5484128285620578,0.5716275757165465,22.14492275051655,0.5520835708731259
12,ETS,99%,TDFP_OR,0.594003888862859,0.7468844128785268,98.25420116513529,0.5990818291501631
10,ETS_BU,90%,TDFP_OR,0.3208663261959424,1.242647189831856,78.05091742211518,0.7844069817623426
10,ETS_BU,95%,TDFP_OR,0.3945087382279904,1.7978887898488425,139.63614293717453,0.8101580115352306
10,ETS_BU,99%,TDFP_OR,0.5323993815302441,3.236703718285631,521.2069256310616,0.8556283762705439
11,ETS_BU,90%,TDFP_OR,0.41503068921894765,0.776361303396312,29.276282635109638,0.6885336975013612
11,ETS_BU,95%,TDFP_OR,0.46738196754595573,1.0074139404435054,54.299616845108766,0.7172828812840949
11,ETS_BU,99%,TDFP_OR,0.5621476206094114,1.5410447899328736,219.48785337694912,0.767736867375035
12,ETS_BU,90%,TDFP_OR,0.5271775289322026,0.4806625034485075,11.012671802399419,0.5296321573090388
12,ETS_BU,95%,TDFP_OR,0.5523790001405613,0.5669203571694013,21.319112379223277,0.555937961405559
12,ETS_BU,99%,TDFP_OR,0.5988274844211217,0.7480676936813208,94.13602742652915,0.6037721884444177
10,ETS_TD,90%,TDFP_OR,0.32370097924378016,1.2697277379097964,77.73142248519261,0.7796630919666229
10,ETS_TD,95%,TDFP_OR,0.3976010870074497,1.8162966246507475,139.20450785066757,0.8057771049424568
10,ETS_TD,99%,TDFP_OR,0.532692217588905,3.235011566242289,520.9522459840662,0.852120066699697
