name,true_demand,forecasts,sst_90,arrival_90,ot_90,wip_90,ip_90,net_90,backlog_90,ch_90,cb_90
0,4.0,4.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
0,5.0,5.0,0.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
0,7.0,7.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,1.0,1.0,0.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
0,9.0,9.0,0.0,9.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
0,3.0,3.0,0.0,3.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
0,9.0,9.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,1.0,1.0,0.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
0,10.0,10.0,0.0,10.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,1.0,1.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0
0,6.0,6.0,0.0,6.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
0,10.0,10.0,0.0,10.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0
0,6.0,6.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
0,2.0,2.0,0.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
0,5.0,5.0,0.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0
0,6.0,6.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
0,2.0,2.0,0.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
0,7.0,7.0,0.0,7.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0
0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0
0,8.0,8.0,0.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
0,4.0,4.0,0.0,4.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
0,7.0,7.0,0.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
0,5.0,5.0,0.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
0,7.0,7.0,0.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
0,5.0,5.0,0.0,5.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
