Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs,Fill_Rate
10,LGBM,90%,BASE,0.3127254837651689,1.0970685089938539,82.88817462149262,0.777972646066152
10,LGBM,95%,BASE,0.3824087522841213,1.5509108401492502,151.2890218394504,0.8041193310589719
10,LGBM,99%,BASE,0.5125216698683409,2.7292269241235014,589.0491703097518,0.8501450954247038
11,LGBM,90%,BASE,0.532582892127005,1.2430500296300286,24.460531717302878,0.7557667354558142
11,LGBM,95%,BASE,0.6008995923722062,1.6731653444503158,42.8463745541522,0.794489838507731
11,LGBM,99%,BASE,0.7108927204860298,2.659701135010655,155.10469319257868,0.8543430258271899
12,LGBM,90%,BASE,0.7018483812022678,1.1293598035582313,6.9553984995905775,0.7226603686891789
12,LGBM,95%,BASE,0.7533594152649581,1.4327351400988122,11.891483514442156,0.7713431978886968
12,LGBM,99%,BASE,0.8287518155835636,2.0721834793428,41.63662887653833,0.8407333385637028
10,LGBM_BU,90%,BASE,0.358747598744319,1.3095544830652426,82.78796872230805,0.8087103922329696
10,LGBM_BU,95%,BASE,0.4241788876915148,1.796227921363432,151.15465742664756,0.8323765490945416
10,LGBM_BU,99%,BASE,0.5461861031720001,3.030789604396642,588.574768303386,0.8728157930844739
11,LGBM_BU,90%,BASE,0.5477322775617298,1.3006215005768893,24.531482862970783,0.7732514285660546
11,LGBM_BU,95%,BASE,0.6133744084711615,1.7319011521071381,43.01642424428912,0.8096886310654976
11,LGBM_BU,99%,BASE,0.7200018741507753,2.7183416794458624,155.96314578752396,0.8655784030380991
12,LGBM_BU,90%,BASE,0.7018483812022678,1.1293598035582313,6.9553984995905775,0.7226603686891789
12,LGBM_BU,95%,BASE,0.7533594152649581,1.4327351400988122,11.891483514442156,0.7713431978886968
12,LGBM_BU,99%,BASE,0.8287518155835636,2.0721834793428,41.63662887653833,0.8407333385637028
10,LGBM_TD,90%,BASE,0.3127254837651689,1.0970685089938539,82.88817462149262,0.777972646066152
10,LGBM_TD,95%,BASE,0.3824087522841213,1.5509108401492502,151.2890218394504,0.8041193310589719
10,LGBM_TD,99%,BASE,0.5125216698683409,2.7292269241235014,589.0491703097518,0.8501450954247038
11,LGBM_TD,90%,BASE,0.5305135173124678,1.2376632487866337,24.257588464400285,0.7513528338421274
11,LGBM_TD,95%,BASE,0.599470552405941,1.6687384877237437,42.43617735624411,0.7908415534702762
11,LGBM_TD,99%,BASE,0.71009230192569,2.6581931655706033,153.25631973958102,0.8518370973862813
12,LGBM_TD,90%,BASE,0.6942416717424917,1.1068262792982795,6.870350176696338,0.7067972545002937
12,LGBM_TD,95%,BASE,0.7471231785597152,1.4106790152177604,11.721007643197867,0.7581438253902089
12,LGBM_TD,99%,BASE,0.8250983929157101,2.05160307407267,40.89445610469401,0.8317783302139272
10,LGBM_MinT,90%,BASE,0.30712645832357216,1.1023344756619997,82.57361188853329,0.7795574010666911
10,LGBM_MinT,95%,BASE,0.3734831092161364,1.5429767373650296,151.30023547976117,0.8047693970861499
10,LGBM_MinT,99%,BASE,0.5024715363350981,2.6806104476081054,594.131740770595,0.8495410616402158
11,LGBM_MinT,90%,BASE,0.5255431132767964,1.2270888442275414,24.292398877825853,0.7500523852920736
11,LGBM_MinT,95%,BASE,0.5934693654437833,1.6458120442167057,42.72167141810677,0.7888995150878271
11,LGBM_MinT,99%,BASE,0.7029431976135815,2.6027077705798933,155.88658259959962,0.8492692175692287
12,LGBM_MinT,90%,BASE,0.6928196598416343,1.1092088418185804,6.8899439964516365,0.7057122608803797
12,LGBM_MinT,95%,BASE,0.7450089022161833,1.4076052618888197,11.813582385947866,0.7560073681852307
12,LGBM_MinT,99%,BASE,0.8218186290587077,2.03584363439218,41.63474605573275,0.8287407535989966
10,LGBM,90%,BU_OR,0.7747739305627137,7.18897984943275,31.588636332664706,0.9419920354495046
10,LGBM,95%,BU_OR,0.8542144965562479,10.546356988069274,44.914617435629545,0.9625837252969799
10,LGBM,99%,BU_OR,0.9291805275734433,17.74941422139049,110.83501726682455,0.9812914378512068
11,LGBM,90%,BU_OR,0.735756454106733,2.821518404010241,14.438737040369654,0.8735289440451828
11,LGBM,95%,BU_OR,0.8064470786674789,3.8852948819657587,22.172641495757098,0.9086360561339677
11,LGBM,99%,BU_OR,0.8915686641990347,6.17874429986256,63.81714272801102,0.9486038805294873
12,LGBM,90%,BU_OR,0.7018483812022678,1.1293598035582313,6.9553984995905775,0.7226603686891789
12,LGBM,95%,BU_OR,0.7533594152649581,1.4327351400988122,11.891483514442156,0.7713431978886968
12,LGBM,99%,BU_OR,0.8287518155835636,2.0721834793428,41.63662887653833,0.8407333385637028
10,LGBM_BU,90%,BU_OR,0.7669962048446797,7.192810101680919,32.64689359079323,0.9425013416453558
10,LGBM_BU,95%,BU_OR,0.8466358993581035,10.497564564802175,46.14888525688857,0.962742210447704
10,LGBM_BU,99%,BU_OR,0.9262170266597948,17.65012564292523,112.26708286560807,0.9818453432059722
11,LGBM_BU,90%,BU_OR,0.7352410626434897,2.834974590627469,14.818638874202202,0.8781953794049414
11,LGBM_BU,95%,BU_OR,0.8045416920457917,3.8880177187467595,22.77072283140416,0.9117355166531875
11,LGBM_BU,99%,BU_OR,0.8900849615018195,6.16629935099083,65.43185048676204,0.950386084746226
12,LGBM_BU,90%,BU_OR,0.7018483812022678,1.1293598035582313,6.9553984995905775,0.7226603686891789
12,LGBM_BU,95%,BU_OR,0.7533594152649581,1.4327351400988122,11.891483514442156,0.7713431978886968
12,LGBM_BU,99%,BU_OR,0.8287518155835636,2.0721834793428,41.63662887653833,0.8407333385637028
10,LGBM_TD,90%,BU_OR,0.7612566180949257,6.899956478681619,31.18874493825279,0.9362363504539281
10,LGBM_TD,95%,BU_OR,0.8449023098908308,10.226983800020523,43.493755740994075,0.9592013657153194
10,LGBM_TD,99%,BU_OR,0.9264630089490697,17.42131044052537,102.56725132700807,0.9802076635804766
11,LGBM_TD,90%,BU_OR,0.7268190975964017,2.7448371310302666,14.399913055978486,0.8655360860810818
11,LGBM_TD,95%,BU_OR,0.8000827749925815,3.8029065351662807,21.982245348360724,0.9029227493373507
11,LGBM_TD,99%,BU_OR,0.888167861437786,6.091794566712109,62.37350134283101,0.9457262419895841
12,LGBM_TD,90%,BU_OR,0.6942416717424917,1.1068262792982795,6.870350176696338,0.7067972545002937
12,LGBM_TD,95%,BU_OR,0.7471231785597152,1.4106790152177604,11.721007643197867,0.7581438253902089
12,LGBM_TD,99%,BU_OR,0.8250983929157101,2.05160307407267,40.89445610469401,0.8317783302139272
10,LGBM_MinT,90%,BU_OR,0.7587967952021741,6.939919946900184,31.52992372294573,0.9374412294551551
